Station,Date,Latitude,Longitude,Depth,Temperature,Salinity,Nitrate,Iron,Pressure,Averaged Nitrate,Ratio,Density
Station 11W,2011-11-22,30.8191,299.22021,1.0,24.565,36.584,,,1.0,,,24.65477587558121
Station 11W,2011-11-22,30.8191,299.22021,2.0,,,,,2.0,,,
Station 11W,2011-11-22,30.8191,299.22021,59.1,24.669,36.654999,0.0,,59.5,0.0,,24.67607058042904
Station 11W,2011-11-22,30.8191,299.22021,60.1,24.646,36.640999,0.0,,60.5,0.0,,24.67264561317552
Station 11W,2011-11-22,30.8191,299.22021,60.1,24.646,36.640999,0.0,0.692683,60.5,0.0,0.0,24.67264561317552
Station 11W,2011-11-22,30.8191,299.22021,91.2,21.109,36.803001,0.01,0.220488,91.9,0.006666666666666667,0.03023596144310197,25.821858586171174
Station 11W,2011-11-22,30.8191,299.22021,91.2,21.109,36.803001,0.0,,91.9,0.006666666666666667,,25.821858586171174
Station 11W,2011-11-22,30.8191,299.22021,92.8,21.12,36.805,0.01,,93.5,0.006666666666666667,,25.82031826334196
Station 11W,2011-11-22,30.8191,299.22021,134.4,19.501,36.702999,1.29,,135.4,0.4366666666666667,,26.18040254172365
Station 11W,2011-11-22,30.8191,299.22021,135.8,19.334,36.688,0.01,,136.8,0.4366666666666667,,26.21287762698921
Station 11W,2011-11-22,30.8191,299.22021,135.8,19.334,36.688,0.01,0.251707,136.8,0.4366666666666667,1.734821306783946,26.21287762698921
Station 11W,2011-11-22,30.8191,299.22021,182.6,18.568,36.620998,3.07,0.28878,183.9,3.043333333333333,10.538587621488098,26.360055011753047
Station 11W,2011-11-22,30.8191,299.22021,182.6,18.568,36.620998,3.1,,183.9,3.043333333333333,,26.360055011753047
Station 11W,2011-11-22,30.8191,299.22021,185.7,18.605,36.625,2.96,,187.1,3.043333333333333,,26.35365074528113
Station 11W,2011-11-22,30.8191,299.22021,236.7,18.287,36.59,3.67,,238.5,3.6566666666666667,,26.40793166173853
Station 11W,2011-11-22,30.8191,299.22021,237.7,18.275,36.589001,3.65,0.330732,239.5,3.6566666666666667,11.056283234360953,26.41020477276811
Station 11W,2011-11-22,30.8191,299.22021,237.7,18.275,36.589001,3.65,,239.5,3.6566666666666667,,26.41020477276811
Station 11W,2011-11-22,30.8191,299.22021,285.6,18.093,36.573002,3.78,0.342439,287.8,3.78,11.038462324676804,26.44388597744046
Station 11W,2011-11-22,30.8191,299.22021,285.6,18.093,36.573002,3.79,,287.8,3.78,,26.44388597744046
Station 11W,2011-11-22,30.8191,299.22021,286.9,18.086,36.575001,3.77,,289.1,3.78,,26.447157656096124
Station 11W,2011-11-22,30.8191,299.22021,345.0,17.846,36.534,4.24,,347.7,4.346666666666667,,26.47598641735931
Station 11W,2011-11-22,30.8191,299.22021,350.7,17.827,36.528999,4.4,,353.4,4.346666666666667,,26.476914414433168
Station 11W,2011-11-22,30.8191,299.22021,350.7,17.827,36.528999,4.4,0.451707,353.4,4.346666666666667,9.622756934620599,26.476914414433168
Station 11W,2011-11-22,30.8191,299.22021,416.6,17.353,36.438999,5.75,,419.9,5.75,,26.52534363071277
Station 11W,2011-11-22,30.8191,299.22021,420.5,17.362,36.439999,5.75,0.355122,423.8,5.75,16.191618654997438,26.523913975771393
Station 11W,2011-11-22,30.8191,299.22021,420.5,17.362,36.439999,5.75,,423.8,5.75,,26.523913975771393
Station 10W,2011-11-20,31.7501,295.83051,0.8,23.957,36.548,,,0.8,,,24.811134303857898
Station 10W,2011-11-20,31.7501,295.83051,2.0,,,,,2.0,,,
Station 10W,2011-11-20,31.7501,295.83051,20.6,24.025,36.592999,0.01,,20.7,0.01,,24.82435163844275
Station 10W,2011-11-20,31.7501,295.83051,40.4,,,,,40.7,0.0033333333333333335,,
